hour_of_day,is_weekend,severity_score,format_encoded,ip_is_external,ip_event_count,ip_fail_rate,rolling_event_rate,message_length,has_sql_keywords,has_exec_keywords,has_c2_keywords,has_auth_failure,has_privilege_esc,anomaly_label,_source_ip,_message,_severity,_format,_timestamp,_raw
12,0,0,4,1,119,0.1513,0,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:00 gateway sshd[1000]: Failed password for invalid user deploy from 91.108.4.55 port 40000 ssh2,INFO,unknown,unknown,Jan 15  8:00:00 gateway sshd[1000]: Failed password for invalid user deploy from 91.108.4.55 port 40000 ssh2
12,0,0,4,1,119,0.1513,1,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:03 gateway sshd[1001]: Failed password for invalid user root from 91.108.4.55 port 40001 ssh2,INFO,unknown,unknown,Jan 15  8:00:03 gateway sshd[1001]: Failed password for invalid user root from 91.108.4.55 port 40001 ssh2
12,0,0,4,1,119,0.1513,2,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:06 gateway sshd[1002]: Failed password for invalid user postgres from 91.108.4.55 port 40002 ssh2,INFO,unknown,unknown,Jan 15  8:00:06 gateway sshd[1002]: Failed password for invalid user postgres from 91.108.4.55 port 40002 ssh2
12,0,0,4,1,119,0.1513,3,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:09 db-01 sshd[1003]: Failed password for invalid user postgres from 91.108.4.55 port 40003 ssh2,INFO,unknown,unknown,Jan 15  8:00:09 db-01 sshd[1003]: Failed password for invalid user postgres from 91.108.4.55 port 40003 ssh2
12,0,0,4,1,119,0.1513,4,107,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:12 vpn-gw sshd[1004]: Failed password for invalid user deploy from 91.108.4.55 port 40004 ssh2,INFO,unknown,unknown,Jan 15  8:00:12 vpn-gw sshd[1004]: Failed password for invalid user deploy from 91.108.4.55 port 40004 ssh2
12,0,0,4,1,119,0.1513,5,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:15 webserver sshd[1005]: Failed password for invalid user deploy from 91.108.4.55 port 40005 ssh2,INFO,unknown,unknown,Jan 15  8:00:15 webserver sshd[1005]: Failed password for invalid user deploy from 91.108.4.55 port 40005 ssh2
12,0,0,4,1,119,0.1513,6,104,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:18 db-01 sshd[1006]: Failed password for invalid user root from 91.108.4.55 port 40006 ssh2,INFO,unknown,unknown,Jan 15  8:00:18 db-01 sshd[1006]: Failed password for invalid user root from 91.108.4.55 port 40006 ssh2
12,0,0,4,1,119,0.1513,7,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:21 gateway sshd[1007]: Failed password for invalid user ubuntu from 91.108.4.55 port 40007 ssh2,INFO,unknown,unknown,Jan 15  8:00:21 gateway sshd[1007]: Failed password for invalid user ubuntu from 91.108.4.55 port 40007 ssh2
12,0,0,4,1,119,0.1513,8,107,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:24 vpn-gw sshd[1008]: Failed password for invalid user deploy from 91.108.4.55 port 40008 ssh2,INFO,unknown,unknown,Jan 15  8:00:24 vpn-gw sshd[1008]: Failed password for invalid user deploy from 91.108.4.55 port 40008 ssh2
12,0,0,4,1,119,0.1513,9,106,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:27 vpn-gw sshd[1009]: Failed password for invalid user admin from 91.108.4.55 port 40009 ssh2,INFO,unknown,unknown,Jan 15  8:00:27 vpn-gw sshd[1009]: Failed password for invalid user admin from 91.108.4.55 port 40009 ssh2
12,0,0,4,1,119,0.1513,10,110,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:30 gateway sshd[1010]: Failed password for invalid user postgres from 91.108.4.55 port 40010 ssh2,INFO,unknown,unknown,Jan 15  8:00:30 gateway sshd[1010]: Failed password for invalid user postgres from 91.108.4.55 port 40010 ssh2
12,0,0,4,1,119,0.1513,11,108,0,0,1,1,0,0,91.108.4.55,Jan 15  8:00:33 db-01 sshd[1011]: Failed password for invalid user postgres from 91.108.4.55 port 40011 ssh2,INFO,unknown,unknown,Jan 15  8:00:33 db-01 sshd[1011]: Failed password for invalid user postgres from 91.108.4.55 port 40011 ssh2
12,0,0,4,1,119,0.1513,12,107,0,0,1,1,1,0,91.108.4.55,Jan 15  8:00:36 gateway sshd[1012]: Failed password for invalid user admin from 91.108.4.55 port 40012 ssh2,INFO,unknown,unknown,Jan 15  8:00:36 gateway sshd[1012]: Failed password for invalid user admin from 91.108.4.55 port 40012 ssh2
